"userID","itemID","rating"
"User_142","Item_0482",3
"User_51","Item_0766",3
"User_208","Item_0186",5
"User_218","Item_0071",3
"User_220","Item_0226",5
"User_152","Item_0966",4
"User_58","Item_0826",5
"User_93","Item_0151",4
"User_75","Item_0431",1
"User_96","Item_0163",3
"User_216","Item_0247",4
"User_2","Item_0727",4
"User_86","Item_0354",4
"User_75","Item_0367",3
"User_38","Item_0894",4
"User_103","Item_0702",5
"User_94","Item_0329",1
"User_10","Item_0894",3
"User_209","Item_0347",2
"User_160","Item_0497",4
"User_40","Item_0756",1
"User_167","Item_0882",5
"User_38","Item_0295",1
"User_30","Item_0014",5
"User_1","Item_0174",5
"User_204","Item_0547",2
"User_212","Item_0794",2
"User_72","Item_0276",4
"User_250","Item_0189",5
"User_12","Item_0588",3
"User_3","Item_0054",2
"User_137","Item_0516",5
"User_14","Item_0708",4
"User_141","Item_0472",3
"User_192","Item_0500",4
"User_148","Item_0986",4
"User_106","Item_0896",3
"User_119","Item_0701",4
"User_16","Item_0684",5
"User_80","Item_0667",5
"User_62","Item_0002",3
"User_224","Item_0493",4
"User_98","Item_0090",3
"User_244","Item_0082",3
"User_123","Item_0619",1
"User_60","Item_0435",4
"User_105","Item_0733",3
"User_32","Item_0692",3
"User_25","Item_0078",5
"User_36","Item_0193",5
"User_232","Item_0280",5
"User_203","Item_0936",5
"User_166","Item_0250",3
"User_137","Item_0501",4
"User_133","Item_0234",2
"User_207","Item_0552",5
"User_211","Item_0837",5
"User_145","Item_0054",5
"User_127","Item_0245",3
"User_145","Item_0927",3
"User_165","Item_0452",4
"User_58","Item_0184",3
"User_106","Item_0295",3
"User_195","Item_0792",5
"User_211","Item_0480",3
"User_13","Item_0740",4
"User_223","Item_0182",2
"User_67","Item_0580",4
"User_177","Item_0879",1
"User_74","Item_0083",2
"User_56","Item_0063",2
"User_107","Item_0939",3
"User_121","Item_0674",3
"User_248","Item_0579",4
"User_91","Item_0878",2
"User_116","Item_0754",4
"User_34","Item_0890",2
"User_172","Item_0472",3
"User_163","Item_0226",4
"User_109","Item_0454",4
"User_214","Item_0544",3
"User_179","Item_0444",3
"User_55","Item_0720",3
"User_234","Item_0199",3
"User_23","Item_0972",4
"User_95","Item_0865",5
"User_154","Item_0441",1
"User_183","Item_0332",5
"User_135","Item_0475",2
"User_143","Item_0413",5
"User_229","Item_0900",4
"User_46","Item_0413",3
"User_215","Item_0671",4
"User_140","Item_0985",2
"User_90","Item_0732",4
"User_124","Item_0516",3
"User_216","Item_0549",4
"User_99","Item_0900",2
"User_5","Item_0502",5
"User_107","Item_0843",2
"User_68","Item_0815",4
"User_121","Item_0537",4
"User_11","Item_0757",3
"User_49","Item_0537",3
"User_67","Item_0043",3
"User_74","Item_0662",1
"User_15","Item_0395",3
"User_7","Item_0481",3
"User_42","Item_0046",4
"User_90","Item_0365",4
"User_55","Item_0976",4
"User_132","Item_0467",4
"User_220","Item_0126",3
"User_234","Item_0010",4
"User_132","Item_0895",4
"User_109","Item_0626",1
"User_32","Item_0559",1
"User_57","Item_0823",3
"User_210","Item_0876",3
"User_248","Item_0801",3
"User_234","Item_0744",4
"User_193","Item_0697",3
"User_220","Item_0118",4
"User_176","Item_0378",5
"User_201","Item_0971",4
"User_86","Item_0747",3
"User_55","Item_0661",3
"User_145","Item_0975",3
"User_3","Item_0116",4
"User_18","Item_0714",5
"User_197","Item_0523",1
"User_202","Item_0298",5
"User_246","Item_0357",5
"User_135","Item_0045",3
"User_95","Item_0988",3
"User_249","Item_0372",5
"User_202","Item_0505",5
"User_148","Item_0409",3
"User_140","Item_0038",1
"User_98","Item_0934",5
"User_68","Item_0903",1
"User_163","Item_0174",5
"User_134","Item_0172",2
"User_120","Item_0810",3
"User_23","Item_0692",2
"User_111","Item_0478",4
"User_68","Item_0092",3
"User_187","Item_0574",5
"User_30","Item_0962",2
"User_178","Item_0979",5
"User_31","Item_0466",3
"User_99","Item_0416",5
"User_232","Item_0441",4
"User_221","Item_0729",5
"User_153","Item_0844",4
"User_176","Item_0627",5
"User_25","Item_0820",3
"User_156","Item_0279",3
"User_76","Item_0183",4
"User_92","Item_0229",5
"User_100","Item_0449",4
"User_8","Item_0081",5
"User_78","Item_0236",5
"User_146","Item_0086",1
"User_148","Item_0791",4
"User_85","Item_0831",4
"User_21","Item_0131",3
"User_47","Item_0864",4
"User_205","Item_0994",2
"User_248","Item_0868",4
"User_11","Item_0116",3
"User_51","Item_0656",2
"User_71","Item_0416",4
"User_172","Item_0851",4
"User_152","Item_0283",5
"User_63","Item_0764",2
"User_229","Item_0730",1
"User_244","Item_0221",3
"User_62","Item_0557",2
"User_105","Item_0098",5
"User_110","Item_0892",2
"User_200","Item_0945",3
"User_56","Item_0615",5
"User_212","Item_0298",1
"User_37","Item_0698",4
"User_11","Item_0282",4
"User_213","Item_0416",5
"User_137","Item_0198",4
"User_164","Item_0363",5
"User_10","Item_0556",1
"User_199","Item_0372",5
"User_58","Item_0444",5
"User_77","Item_0984",4
"User_98","Item_0474",5
"User_82","Item_0890",1
"User_174","Item_0089",4
"User_129","Item_0329",1
"User_178","Item_0098",5
"User_105","Item_0122",4
"User_229","Item_0033",3
"User_183","Item_0792",3
"User_82","Item_0902",4
"User_93","Item_0449",1
"User_189","Item_0072",3
"User_197","Item_0893",4
"User_13","Item_0731",5
"User_175","Item_0867",4
"User_207","Item_0151",3
"User_175","Item_0496",5
"User_79","Item_0720",1
"User_187","Item_0797",5
"User_240","Item_0231",5
"User_62","Item_0582",3
"User_161","Item_0267",3
"User_119","Item_0981",4
"User_190","Item_0581",5
"User_218","Item_0924",3
"User_122","Item_0998",4
"User_197","Item_0407",3
"User_14","Item_0307",5
"User_203","Item_0457",3
"User_195","Item_0015",2
"User_31","Item_0981",5
"User_136","Item_0297",1
"User_111","Item_0715",4
